date,time,right_eye_x,right_eye_y,left_eye_x,left_eye_y
2023-05-08,19:50:33,-6,-3,-3,-2
2023-05-08,19:50:33,-5,-3,-4,-3
2023-05-08,19:50:33,-3,-3,-2,-2
2023-05-08,19:50:33,1,-2,1,-3
2023-05-08,19:50:33,1,-2,0,-2
2023-05-08,19:50:33,-4,-2,-3,-2
2023-05-08,19:50:33,-5,-2,-3,-2
2023-05-08,19:50:33,-2,-2,-1,-3
2023-05-08,19:50:33,-1,-3,2,-2
2023-05-08,19:50:33,-1,-3,2,-2
2023-05-08,19:50:34,0,-4,1,-4
2023-05-08,19:50:34,0,-3,1,-3
2023-05-08,19:50:34,0,-4,2,-4
2023-05-08,19:50:34,1,-3,1,-3
2023-05-08,19:50:34,-1,-3,1,-3
2023-05-08,19:50:34,1,-3,2,-4
2023-05-08,19:50:34,1,-3,2,-3
2023-05-08,19:50:34,1,-3,2,-3
2023-05-08,19:50:34,-1,-4,0,-4
2023-05-08,19:50:34,-1,-4,1,-3
2023-05-08,19:50:34,0,-4,1,-4
2023-05-08,19:50:34,-4,-4,-1,-4
2023-05-08,19:50:34,-4,-4,0,-4
2023-05-08,19:50:34,-5,-3,-1,-3
2023-05-08,19:50:35,-5,-4,-1,-4
2023-05-08,19:50:35,-4,-4,-1,-4
2023-05-08,19:50:35,-1,-2,-2,-2
2023-05-08,19:50:35,0,-3,-2,-2
2023-05-08,19:50:35,-1,-2,-3,-2
2023-05-08,19:50:35,-1,-3,-2,-2
2023-05-08,19:50:35,-2,-2,-2,-2
2023-05-08,19:50:36,0,-3,2,-4
2023-05-08,19:50:36,0,-4,1,-4
2023-05-08,19:50:36,0,-3,2,-3
2023-05-08,19:50:36,-3,0,-3,-2
2023-05-08,19:50:36,-4,-3,1,-4
2023-05-08,19:50:36,-5,-4,0,-4
2023-05-08,19:50:36,-5,-4,0,-4
2023-05-08,19:50:36,-4,-4,-1,-4
2023-05-08,19:50:36,-3,-4,0,-4
2023-05-08,19:50:36,2,-3,4,-3
2023-05-08,19:50:36,0,-3,4,-4
2023-05-08,19:50:36,0,-5,2,-4
2023-05-08,19:50:36,-2,-4,1,-4
2023-05-08,19:50:37,-1,-4,1,-4
2023-05-08,19:50:37,-2,-5,0,-4
2023-05-08,19:50:37,-2,-5,0,-4
2023-05-08,19:50:37,-2,-5,0,-4
2023-05-08,19:50:37,-4,-4,0,-4
2023-05-08,19:50:37,-4,-4,0,-4
2023-05-08,19:50:37,-5,-3,0,-3
2023-05-08,19:50:37,-5,-3,0,-2
2023-05-08,19:50:37,-6,-3,-1,-3
2023-05-08,19:50:37,-7,-1,-3,-2
2023-05-08,19:50:37,-6,-1,-2,-2
2023-05-08,19:50:37,-7,-2,-4,-1
2023-05-08,19:50:37,-6,-2,-4,-2
2023-05-08,19:50:37,-5,-2,-4,-1
2023-05-08,19:50:38,0,-3,1,-2
2023-05-08,19:50:38,1,-3,2,-2
2023-05-08,19:50:38,-1,-4,1,-3
2023-05-08,19:50:38,-1,-4,1,-4
2023-05-08,19:50:38,-1,-4,2,-4
2023-05-08,19:50:38,-2,-4,1,-4
2023-05-08,19:50:38,-1,-5,2,-4
2023-05-08,19:50:38,-3,-4,1,-4
2023-05-08,19:50:38,-5,-4,-2,-4
2023-05-08,19:50:38,-5,-4,0,-4
2023-05-08,19:50:38,-6,-2,-2,-2
2023-05-08,19:50:38,-6,-2,-3,-2
2023-05-08,19:50:38,-6,-2,-5,-2
2023-05-08,19:50:38,-4,-4,-1,-3
