date,time,right_eye_x,right_eye_y,left_eye_x,left_eye_y
2023-05-08,20:17:30,-1,-2,0,-1
2023-05-08,20:17:30,-1,-2,0,-1
2023-05-08,20:17:30,-1,-2,-1,-2
2023-05-08,20:17:30,0,-2,1,-2
2023-05-08,20:17:30,-1,-1,1,-1
2023-05-08,20:17:30,-1,-2,2,-2
2023-05-08,20:17:30,-1,-2,0,-2
2023-05-08,20:17:31,0,-2,1,-2
2023-05-08,20:17:32,-2,-1,-2,-1
2023-05-08,20:17:32,-2,-2,-1,-1
2023-05-08,20:17:32,-1,-2,-1,-1
2023-05-08,20:17:32,-1,-1,-1,-1
2023-05-08,20:17:32,-1,-2,1,-1
2023-05-08,20:17:33,0,-2,1,-1
2023-05-08,20:17:34,0,-2,0,-1
2023-05-08,20:17:34,0,-2,0,-1
2023-05-08,20:17:34,0,-1,0,-1
2023-05-08,20:17:35,-1,-1,0,-1
2023-05-08,20:17:35,-1,-2,-1,-1
2023-05-08,20:17:35,0,-2,-1,-2
2023-05-08,20:17:35,-1,-1,0,-1
2023-05-08,20:17:35,-1,-1,-1,-1
2023-05-08,20:17:35,-1,-1,-1,-1
2023-05-08,20:17:35,-1,-2,0,-2
2023-05-08,20:17:35,-1,-2,0,-2
2023-05-08,20:17:38,0,-2,1,-2
2023-05-08,20:17:38,-1,-2,0,-2
2023-05-08,20:17:38,-1,-2,0,-2
2023-05-08,20:17:40,0,-2,0,-1
2023-05-08,20:17:41,-1,-2,0,-1
2023-05-08,20:17:42,-1,-2,0,-2
2023-05-08,20:17:42,-1,-1,-1,-1
2023-05-08,20:17:43,-1,-1,0,-1
2023-05-08,20:17:43,0,-1,1,-1
2023-05-08,20:17:43,1,-2,0,-2
2023-05-08,20:17:43,0,-1,0,-1
2023-05-08,20:17:43,-1,-1,0,-1
2023-05-08,20:17:43,-1,-2,1,-2
2023-05-08,20:17:46,-2,-2,-1,-2
2023-05-08,20:17:46,-1,-2,-1,-2
2023-05-08,20:17:46,0,-1,0,-1
2023-05-08,20:17:46,-1,-1,-1,-2
2023-05-08,20:17:46,-1,-1,0,-2
2023-05-08,20:17:46,0,-1,1,-1
2023-05-08,20:17:46,0,-2,1,-1
2023-05-08,20:17:46,-1,-1,0,-2
2023-05-08,20:17:46,0,-2,1,-1
2023-05-08,20:17:47,-1,-1,1,-1
2023-05-08,20:17:47,0,-1,1,-1
2023-05-08,20:17:47,-1,-1,1,-1
2023-05-08,20:17:47,-1,-1,1,-1
2023-05-08,20:17:47,-1,-2,0,-2
2023-05-08,20:17:47,-1,-1,0,-1
2023-05-08,20:17:47,-1,-1,-1,-1
2023-05-08,20:17:47,-1,-1,0,-1
2023-05-08,20:17:47,-1,-2,2,-2
2023-05-08,20:17:47,-1,-1,0,-1
2023-05-08,20:17:47,-1,-1,0,-2
2023-05-08,20:17:48,-1,-2,0,-2
2023-05-08,20:17:48,-1,-2,0,-2
2023-05-08,20:17:48,0,-2,0,-2
2023-05-08,20:17:50,-1,-2,0,-2
2023-05-08,20:17:50,-1,-2,1,-1
2023-05-08,20:17:50,-1,-1,1,-1
2023-05-08,20:17:50,0,-2,0,-2
2023-05-08,20:17:50,-1,-1,0,-2
2023-05-08,20:17:50,-1,-1,1,-2
2023-05-08,20:17:50,0,-1,0,-1
2023-05-08,20:17:50,0,-1,0,-1
2023-05-08,20:17:50,-1,-1,0,-1
2023-05-08,20:17:50,-1,-1,0,-1
2023-05-08,20:17:50,-1,-1,0,-1
2023-05-08,20:17:50,-1,-2,0,-2
2023-05-08,20:17:51,-1,-2,-1,-2
2023-05-08,20:17:51,-1,-2,0,-2
2023-05-08,20:17:58,-1,-2,0,-1
2023-05-08,20:18:04,-1,-1,0,-2
2023-05-08,20:18:04,-1,-1,0,-2
2023-05-08,20:18:04,-1,-1,1,-2
2023-05-08,20:18:04,-1,-1,-1,-1
2023-05-08,20:18:05,-1,-1,1,-2
2023-05-08,20:18:05,-1,-2,1,-2
2023-05-08,20:18:05,-1,-1,0,-1
2023-05-08,20:18:05,-1,-1,0,-1
2023-05-08,20:18:05,0,-1,0,-1
2023-05-08,20:18:05,-1,-2,1,-2
2023-05-08,20:18:05,0,-1,0,-1
2023-05-08,20:18:07,-3,-1,-2,-1
2023-05-08,20:18:08,-1,-2,0,-2
2023-05-08,20:18:08,-1,-1,0,-1
2023-05-08,20:18:08,-1,-1,0,-2
2023-05-08,20:18:09,-1,-1,0,-1
